id	subject	question	answer	notes	tags
279	Promises	Promise.all syntax	"```javascript
// Single promise usage:
request1.ready().then(
    function() {
        // This runs when request1 loads successfully.
    },
    function() {
        // This runs when request1 fails.
    }
);

// Combining multiple promises:
Promise.all([request1.ready(), request2.ready()]).then(
    function() {
        // This runs when both request1 and request2 load successfully.
    },
    function() {
        // This runs if at least one request fails.
    }
);
```

- The first example attaches success and failure callbacks to a single promise.
- The second example uses `Promise.all()` to wait for an array of promises. The success callback runs only when every promise is fulfilled, while the failure callback runs if any promise is rejected."		
280	Promises	Chaining	"Chaining with `.then()` lets you perform sequential transformations or additional asynchronous actions. Each call to `.then()` returns a new promise, and the value you return from one callback is automatically passed as the input to the next.

```javascript
var promise = new Promise(function(resolve, reject) {
    resolve(1); // The promise resolves with the value 1.
});

promise.then(function(val) {
    console.log(val); // Logs 1.
    return val + 2;   // Returns 3 for the next .then() in the chain.
}).then(function(val) {
    console.log(val); // Logs 3.
});
```"		
281	Promises	Queuing asynchronous actions	"**Chaining Async Actions with `.then()`**

- Returning a simple value in a `.then()` callback passes that value immediately to the next `.then()`.
- Returning a promise (or thenable) makes the chain wait until that promise settles before proceeding.

```javascript
getJSON('story.json').then(function(story) {
    // Return a promise that loads the first chapter.
    return getJSON(story.chapterUrls[0]);
}).then(function(chapter1) {
    // This runs after the chapter promise settles.
    console.log(""Got chapter 1!"", chapter1);
});
```"		
282	Promises	Promisifying XMLHttpRequest	"**Promisifying XMLHttpRequest**

This example wraps an XMLHttpRequest in a Promise, allowing you to handle asynchronous HTTP requests using the Promise API.

```javascript
function get(url) {
    // Return a new promise that will be fulfilled or rejected based on the XHR result.
    return new Promise(function(resolve, reject) {
        var req = new XMLHttpRequest();
        req.open('GET', url);
        
        req.onload = function() {
            // onload is called even for error statuses (like 404), so check the status code.
            if (req.status == 200) {
                // Resolve the promise with the response text when successful.
                resolve(req.response);
            } else {
                // Reject the promise with an error message if the status indicates failure.
                reject(Error(req.statusText));
            }
        };
        
        // Handle network errors by rejecting the promise.
        req.onerror = function() {
            reject(Error(""Network Error""));
        };
        
        // Send the HTTP request.
        req.send();
    });
}
```

**Usage Example**

```javascript
get('story.json').then(
    function(response) {
        console.log(""Success!"", response);
    },
    function(error) {
        console.error(""Failed!"", error);
    }
);
```

- The `get` function returns a promise that resolves with the response text if the HTTP status is 200.
- If the status is not 200, or if there’s a network error, the promise is rejected with an appropriate error.
- The usage example shows how to handle both success and failure using the `.then()` method."		
283	Promises	Chaining	"**Chaining Promises and Transforming Values**

- **Sequential Operations:**  
  Chaining `.then()` lets you execute asynchronous actions in sequence. The output of one `.then()` is passed as input to the next.

- **Value Transformation:**  
  If you return a simple value from a `.then()` callback, that value is passed directly to the next callback.  
  If you return a promise (or a thenable), the chain will wait for it to settle before proceeding.

**Example 1: Transforming Values**

```javascript
var promise = new Promise(function(resolve, reject) {
    resolve(1);
});

promise.then(function(val) {
    console.log(val); // Logs 1
    return val + 2;   // Passes 3 to the next .then()
}).then(function(val) {
    console.log(val); // Logs 3
});
```

**Example 2: Chaining Async Actions**

Imagine you have a `get` function that fetches data as plain text. You can chain `.then()` to parse JSON and work with the resulting object:

```javascript
get('story.json')
    .then(function(response) {
        // Convert the plain text response into a JSON object.
        return JSON.parse(response);
    })
    .then(function(data) {
        console.log(""Yey JSON!"", data);
    });
```

Since `JSON.parse` accepts one argument and returns a value, you can simplify the code by passing it directly to `.then()`:

```javascript
get('story.json')
    .then(JSON.parse)
    .then(function(data) {
        console.log(""Yey JSON!"", data);
    });
```

**Creating a Convenience Function**

You can further encapsulate this pattern by creating a `getJSON` function:

```javascript
function getJSON(url) {
    return get(url).then(JSON.parse);
}

getJSON('story.json').then(function(data) {
    console.log(""Yey JSON!"", data);
});
```

- **Summary:**  
  Chaining with `.then()` allows you to transform values and sequence asynchronous actions. When you return a promise from a `.then()` callback, the next step waits for that promise to settle before it runs."		
284	Promises	Error handling	"**Error Handling in Promises**

- **Using then(success, failure):**
  - You pass two callbacks to handle success and failure.
  - Only one of the callbacks is executed—either the fulfillment callback or the rejection callback.

  ```javascript
  get('story.json').then(
      function(response) {
          console.log(""Success!"", response);
      },
      function(error) {
          console.log(""Failed!"", error);
      }
  );
  ```

- **Using then().catch():**
  - You attach a success callback with then(), then handle errors with catch().
  - catch() is just shorthand for then(undefined, errorHandler) and is often more readable.
  - Errors that occur in the success callback are also caught by catch().

  ```javascript
  get('story.json')
      .then(function(response) {
          console.log(""Success!"", response);
      })
      .catch(function(error) {
          console.log(""Failed!"", error);
      });
  ```

- **Key Difference:**
  - With `then(success, failure)`, only one callback will be called based on the original promise outcome.
  - With `then(success).catch(failure)`, the catch() will handle both a rejection from the initial promise and any errors thrown in the preceding then() callback."		
285	Promises	Promise.all	"Promise.all takes an array of promises and returns a new promise that:

- Resolves when every promise in the array resolves.
- Yields an array of results, where each result corresponds to the resolved value of each promise, in the same order as they were passed in.
- Rejects immediately if any promise in the array rejects, using that rejection reason.

```javascript
Promise.all(arrayOfPromises)
    .then(function(arrayOfResults) {
        // This runs when every promise has successfully resolved.
        // arrayOfResults is an array of values from the promises, in the same order.
    })
    .catch(function(error) {
        // This runs if any of the promises rejects.
    });
```"		
286	Promises	Promises and generators	"**Generators**

- Generators are special functions in ES6 that can pause their execution and resume later.  
- They are defined with a star (`*`) before the function name and use the `yield` keyword as a pause point.

```javascript
function* addGenerator() {
    let i = 0;
    while (true) {
        // Pause execution and yield the current value of i.
        // When resumed, the value passed to next() will be added to i.
        i += yield i;
    }
}
```

- **Usage Example:**

```javascript
const adder = addGenerator();
console.log(adder.next().value); // Outputs: 0 (initial yield)
console.log(adder.next(5).value); // Outputs: 5 (0 + 5)
console.log(adder.next(5).value); // Outputs: 10 (5 + 5)
console.log(adder.next(5).value); // Outputs: 15 (10 + 5)
console.log(adder.next(50).value); // Outputs: 65 (15 + 50)
```

**Using Generators for Asynchronous Code**

- By leveraging generators, you can write asynchronous code that looks like synchronous code.
- The `yield` keyword can be used to pause execution until a promise settles (resolves or rejects), allowing you to wait for asynchronous actions to complete.

**The spawn() Helper Function**

- The `spawn` function allows you to use generators to manage asynchronous operations with promises.
- It runs a generator function and automatically resumes it when the yielded promises settle.
- If a yielded promise resolves, its value is sent back into the generator; if it rejects, the error is thrown into the generator.

```javascript
function spawn(generatorFunc) {
    function continuer(verb, arg) {
        let result;
        try {
            result = generator[verb](arg);
        } catch (err) {
            return Promise.reject(err);
        }
        if (result.done) {
            // When the generator is finished, return the final value.
            return result.value;
        } else {
            // Wait for the yielded promise to settle before continuing.
            return Promise.resolve(result.value).then(onFulfilled, onRejected);
        }
    }
    const generator = generatorFunc();
    const onFulfilled = continuer.bind(continuer, ""next"");
    const onRejected = continuer.bind(continuer, ""throw"");
    return onFulfilled();
}
```

- **How It Works:**
  - **Start:** `spawn` invokes the generator function to create a generator instance.
  - **Continue:** The helper function `continuer` resumes the generator using either `next` or `throw`, based on whether the promise resolves or rejects.
  - **Chain:** If the generator yields a promise, `spawn` waits until that promise is resolved before calling the next iteration of the generator.
  - **Completion:** When the generator is done (`result.done` is true), its final value is returned.

This approach makes it easier to manage asynchronous code by writing it in a linear, synchronous style while still handling promise-based asynchronous operations."		
287	Promises	Promises API reference	"**Promise Static Methods**

- **`Promise.resolve(value)`**
  - **If value is a promise:** Returns the same promise (provided its constructor is `Promise`).
  - **If value is thenable:** Returns a new promise that follows the state of the thenable (an object with a `then()` method).
  - **Otherwise:** Returns a promise that fulfills with the given value.

- **`Promise.reject(error)`**
  - Returns a promise that immediately rejects with the provided error.
  - For consistency and better debugging (e.g., proper stack traces), it’s recommended that `error` is an instance of `Error`.

- **`Promise.all(array)`**
  - Accepts an array of promises (or values, which are wrapped via `Promise.resolve`).
  - Returns a new promise that fulfills only when every promise in the array fulfills.
  - The fulfillment value is an array of resolved values in the same order as the input.
  - If any promise rejects, the returned promise rejects immediately with that rejection reason.

- **`Promise.race(array)`**
  - Accepts an array of promises (or values).
  - Returns a promise that settles (fulfills or rejects) as soon as one of the input promises settles.
  - *Note:* Some developers find `Promise.race` less useful since it doesn't wait for all promises, unlike `Promise.all`.

---

**Promise Constructor**

- **`new Promise(executor)`**
  - Creates a new promise.
  - The `executor` function receives two functions: `resolve` and `reject`.
    - **`resolve(thenableOrValue)`**
      - If passed a thenable, the promise adopts its eventual state.
      - Otherwise, the promise fulfills with the given value.
    - **`reject(error)`**
      - Rejects the promise with the provided error.
      - Errors thrown within the executor are automatically caught and passed to `reject`.

---

**Instance Methods**

- **`promise.then(onFulfilled, onRejected)`**
  - Attaches callbacks for both fulfillment and rejection:
    - **`onFulfilled(value)`**: Called when the promise resolves.
    - **`onRejected(reason)`**: Called when the promise rejects.
  - Both callbacks are optional; if omitted, the next handler in the chain is used.
  - Returns a new promise that resolves to the value returned by the called callback (after being processed by `Promise.resolve`).
  - If a callback throws an error, the new promise is rejected with that error.

- **`promise.catch(onRejected)`**
  - Shorthand for `promise.then(undefined, onRejected)`.
  - Catches any rejection from the promise or from any previous `.then()` in the chain."		
288	Async/await	Introduction	"**Async Functions**

- **Definition:**  
  Mark a function with the `async` keyword to enable the use of `await` within it.

- **Using `await`:**  
  - When you `await` a promise, the function pauses (without blocking the main thread) until the promise settles.
  - If the promise fulfills, the fulfilled value is returned.
  - If the promise rejects, an error is thrown.

- **Error Handling:**  
  Use `try/catch` blocks to handle errors, just as you would in synchronous code.

```javascript
async function myFirstAsyncFunction() {
    try {
        const fulfilledValue = await somePromise();
        // Use fulfilledValue after the promise resolves.
    } catch (error) {
        // Handle the error if the promise rejects.
    }
}
```

- **Benefits:**  
  Async/await makes asynchronous code easier to write and read, transforming promise-based code into a style that looks synchronous without blocking execution."		
289	Async/await	Arrow functions	"**Arrow Functions with Async/Await**

Using an async arrow function within Array.map allows you to create promises for each element in an array. In the example below, each URL is mapped to a promise that fetches the URL and returns the parsed JSON:

```javascript
const jsonPromises = urls.map(async url =&gt; {
    const response = await fetch(url);
    return response.json();
});
```

- The async arrow function automatically returns a promise.
- The `await` keyword pauses the function until `fetch(url)` resolves, then `response.json()` is returned.
- Array.map collects these promises into an array without waiting for one to complete before starting the next."		
290	Async/await	Object methods	"**Object Methods with Async/Await**

You can define asynchronous methods within objects using the `async` keyword. In the example below, the `storage` object has an async method `getAvatar` that performs asynchronous operations using `await`:

```javascript
const storage = {
    async getAvatar(name) {
        // Open the 'avatars' cache asynchronously.
        const cache = await caches.open('avatars');
        // Return a promise that resolves with the matching avatar image.
        return cache.match(`/avatars/${name}.jpg`);
    }
};

// Call the async method and handle the resulting promise.
storage.getAvatar('jaffathecake').then(avatar =&gt; {
    // Use the avatar image here.
});
```

- The `async` keyword allows you to use `await` inside the method.
- The method always returns a promise, so you can chain `.then()` to process the resolved value.
- The asynchronous operations (like opening the cache) are handled seamlessly with `await`."		
291	Async/await	Class methods	"```javascript
class Storage {
    constructor() {
        // Start opening the 'avatars' cache immediately and store the promise.
        this.cachePromise = caches.open('avatars');
    }
    
    async getAvatar(name) {
        // Wait for the cache to open, then find and return the matching avatar.
        const cache = await this.cachePromise;
        return cache.match(`/avatars/${name}.jpg`);
    }
}

const storage = new Storage();
storage.getAvatar('jaffathecake').then(avatar =&gt; {
    // Process the avatar image here.
});
```

- **Async Class Method:**  
  The `getAvatar` method is marked with `async`, allowing you to use `await` inside it. This method always returns a promise.

- **Constructor Setup:**  
  The constructor initializes `this.cachePromise` with the promise returned by `caches.open('avatars')`, so the cache starts loading immediately when an instance is created.

- **Using await:**  
  Inside `getAvatar`, the `await` keyword pauses execution until `this.cachePromise` resolves, ensuring the cache is available before calling `cache.match`.

- **Promise Chaining:**  
  Since `getAvatar` returns a promise, you can use `.then()` to handle its resolved value.

- **Limitations:**  
  Note that class constructors and getters/setters cannot be async."		
292	Async/await	Working in parallel	"**Running Async Operations in Parallel**

Even though async/await makes asynchronous code look synchronous, you can still run tasks in parallel by starting them before awaiting.

**Sequential Execution (Series):**

```javascript
async function series() {
    await wait(500); // Waits 500ms.
    await wait(500); // Then waits another 500ms.
    return ""done!"";
}
```

- Total time: Approximately 1000ms, because each wait occurs one after the other.

**Parallel Execution:**

```javascript
async function parallel() {
    const wait1 = wait(500); // Starts the first 500ms timer.
    const wait2 = wait(500); // Starts the second 500ms timer concurrently.
    await wait1;             // Waits for the first timer.
    await wait2;             // Waits for the second timer, which is already complete.
    return ""done!"";
}
```

- Total time: Approximately 500ms, as both timers run concurrently.

This approach lets you perform independent asynchronous actions in parallel, reducing total execution time."		
293	JS 2020	The Nullish Coalescing Operator (??)	"**Nullish Coalescing Operator**

The nullish coalescing operator (`??`) provides a concise way to return a fallback value when dealing with potentially null or undefined variables. It only considers `null` or `undefined` as “nullish,” meaning that if a variable holds a falsy value like `0` or `''`, those values are preserved.

---

**Basic Syntax**

```javascript
leftOperand ?? rightOperand
```

- If `leftOperand` is neither `null` nor `undefined`, the expression returns `leftOperand`.
- Otherwise, it returns `rightOperand`.

---

**Examples**

- **Default Value for Null or Undefined:**

  ```javascript
  let value = null;
  let result = value ?? 'default';
  console.log(result); // Outputs: 'default'
  ```

- **Preserving Falsy Values:**

  ```javascript
  let value = 0;
  let result = value ?? 42;
  console.log(result); // Outputs: 0 (because 0 is not null or undefined)
  ```

---

**Comparison with Logical OR (`||`)**

- **Logical OR (`||`):**
  - Returns the right-hand operand if the left-hand operand is falsy (i.e., `null`, `undefined`, `0`, `false`, `''`).
- **Nullish Coalescing (`??`):**
  - Returns the right-hand operand only if the left-hand operand is `null` or `undefined`.

  ```javascript
  let value = 0;
  console.log(value || 42);  // Outputs: 42 (0 is falsy)
  console.log(value ?? 42);  // Outputs: 0  (0 is not nullish)
  ```

---

**Operator Precedence and Parentheses**

The `??` operator has lower precedence than many other operators, so when combined with logical operators like `||` or `&amp;&amp;`, it's often necessary to use parentheses to avoid syntax errors and ensure correct evaluation.

```javascript
let a = null;
let b = 'fallback';
// Use parentheses to ensure the nullish coalescing is evaluated first.
let result = (a ?? b) || 'default';
```

---

**Practical Use Cases**

- **Providing Default Values:**

  Use `??` to ensure that default values are applied only when variables are truly `null` or `undefined`.

  ```javascript
  function greet(name) {
      const finalName = name ?? 'Guest';
      console.log(`Hello, ${finalName}!`);
  }
  ```

- **Working with Function Parameters:**

  When parameters might not be provided, `??` allows for a fallback without overwriting falsy, but valid, values.

- **Destructuring with Defaults:**

  In object destructuring, `??` can help ensure that only `null` or `undefined` trigger a default value, not values like `0` or `''`.

  ```javascript
  const options = { timeout: 0 };
  const { timeout, retries = 3 } = options;
  const effectiveTimeout = timeout ?? 1000; // Uses 0 from options instead of 1000.
  ```

---

**Summary**

The nullish coalescing operator (`??`) is a powerful tool to simplify the handling of default values. Unlike the logical OR operator, it only treats `null` and `undefined` as needing a fallback, thereby preserving other falsy values. Remember to use parentheses when combining it with other logical operators to maintain clarity and correctness."		
294	JS 2020	The Optional Chaining Operator (?.)	"**Optional Chaining Operator (?.)**

The Optional Chaining Operator (`?.`) enables safe access to nested object properties or methods without having to explicitly check if each reference in the chain exists. If any part of the chain is `null` or `undefined`, the expression short-circuits and returns `undefined` instead of throwing an error.

---

**Basic Syntax**

```javascript
// Accessing a property:
obj?.prop

// Accessing an array element:
obj?.[index]

// Calling a function:
obj?.method()
```

- The operator stops evaluation if the value before `?.` is `null` or `undefined`.

---

**Examples**

- **Safe Property Access:**

  ```javascript
  const user = { name: 'Alice', address: { city: 'Wonderland' } };
  console.log(user.address?.city); // Outputs: 'Wonderland'
  console.log(user.contact?.phone); // Outputs: undefined (no error thrown)
  ```

- **Safe Function Calls:**

  ```javascript
  const user = {
      name: 'Alice',
      getAddress: function() {
          return 'Wonderland';
      }
  };
  console.log(user.getAddress?.()); // Outputs: 'Wonderland'
  console.log(user.getPhone?.());   // Outputs: undefined (no error thrown)
  ```

- **Safe Array Access:**

  ```javascript
  const users = [{ name: 'Alice' }, { name: 'Bob' }];
  console.log(users?.[0]?.name); // Outputs: 'Alice'
  console.log(users?.[2]?.name); // Outputs: undefined
  ```

---

**Practical Use Cases**

- **Deeply Nested Objects:**  
  Avoid repetitive checks when accessing properties several layers deep:
  ```javascript
  const city = user.profile?.address?.city;
  ```

- **Dynamic Data:**  
  When dealing with data from external sources where some fields might be missing, optional chaining prevents runtime errors.

- **Combined with Nullish Coalescing:**  
  Provide default values if the accessed property is missing:
  ```javascript
  const phone = user.contact?.phone ?? 'No phone provided';
  ```

---

**Summary**

The Optional Chaining Operator (`?.`) simplifies code by allowing you to access properties, call functions, or access array elements safely on potentially `null` or `undefined` objects. It prevents runtime errors and reduces the need for verbose conditional checks, making your code more concise and robust."		
295	JS 2020	Assignment operators	"**Logical Assignment Operators**

JavaScript provides three logical assignment operators that combine logical operations with assignment. They simplify common patterns where you conditionally update a variable.

---

**Logical AND Assignment (&amp;&amp;=)**

- **Usage:**  
  `x &amp;&amp;= y` assigns the result of `y` to `x` only if `x` is truthy.
  
- **Equivalent To:**  
  ```javascript
  if (x) {
      x = y;
  }
  ```

- **Example:**
  ```javascript
  let a = 10;
  a &amp;&amp;= 5; // Since a is truthy, a becomes 5.
  
  let flag = false;
  flag &amp;&amp;= true; // flag remains false because it's not truthy.
  ```

---

**Logical OR Assignment (||=)**

- **Usage:**  
  `x ||= y` assigns `y` to `x` only if `x` is falsy.
  
- **Equivalent To:**  
  ```javascript
  if (!x) {
      x = y;
  }
  ```

- **Example:**
  ```javascript
  let b = 0;
  b ||= 42; // Since 0 is falsy, b becomes 42.
  
  let name = ""Alice"";
  name ||= ""Guest""; // name remains ""Alice"" because it's truthy.
  ```

---

**Nullish Coalescing Assignment (??=)**

- **Usage:**  
  `x ??= y` assigns `y` to `x` only if `x` is `null` or `undefined`.
  
- **Equivalent To:**  
  ```javascript
  if (x === null || x === undefined) {
      x = y;
  }
  ```

- **Example:**
  ```javascript
  let c = null;
  c ??= 42; // c becomes 42 because it was null.
  
  let d = 0;
  d ??= 100; // d remains 0 because 0 is not null or undefined.
  ```

---

**Summary**

- **`&amp;&amp;=`** updates a variable only if its current value is truthy.
- **`||=`** updates a variable only if its current value is falsy.
- **`??=`** updates a variable only if its current value is nullish (i.e., `null` or `undefined`).

These operators offer a concise way to conditionally assign values without needing explicit `if` statements."		
296	JS 2020	Promise.allSettled()	"**Promise.allSettled()**

`Promise.allSettled()` takes an array (or iterable) of promises and returns a new promise that resolves after every promise in the array has settled—that is, each promise has either fulfilled or rejected. Unlike `Promise.all()`, it never rejects, but always resolves with an array of outcome objects.

---

**How It Works**

- The returned promise resolves to an array where each element corresponds to an input promise.
- Each element is an object with:
  - **`status`**: Either `""fulfilled""` or `""rejected""`.
  - **`value`**: Present when the promise is fulfilled.
  - **`reason`**: Present when the promise is rejected.

---

**Example**

```javascript
const promises = [
  Promise.resolve(42),
  Promise.reject(""error occurred""),
  Promise.resolve(""hello"")
];

Promise.allSettled(promises).then(results =&gt; {
  results.forEach(result =&gt; {
    if (result.status === ""fulfilled"") {
      console.log(""Fulfilled with:"", result.value);
    } else {
      console.log(""Rejected with:"", result.reason);
    }
  });
});
```

- In this example, all promises are run in parallel.
- The final result is an array of outcome objects that describe the outcome of each promise, regardless of whether they fulfilled or rejected.

---

**Use Cases**

- Useful when you need to know the result of every promise, without failing the entire operation if one promise rejects.
- Ideal for scenarios where you want to perform cleanup or log errors even when some operations fail."		
297	JS 2020	Dynamic Import	"**ES2020 Dynamic Import**

Dynamic import allows you to load modules asynchronously at runtime instead of statically at the top of your file. This enables on-demand loading, code splitting, and improved performance by reducing the initial load time.

---

**Basic Syntax**

```javascript
import(moduleSpecifier)
```

- Returns a promise that resolves to the module object.
- Can be used with `.then()` or `await` in an async function.

---

**Usage Examples**

- **Using then():**

  ```javascript
  import('./module.js')
    .then(module =&gt; {
      // Use the module, e.g., call a function from it
      module.doSomething();
    })
    .catch(error =&gt; {
      console.error(""Failed to load module:"", error);
    });
  ```

- **Using async/await:**

  ```javascript
  async function loadModule() {
    try {
      const module = await import('./module.js');
      module.doSomething();
    } catch (error) {
      console.error(""Failed to load module:"", error);
    }
  }
  ```

---

**Benefits**

- **On-Demand Loading:**  
  Load modules only when needed, which can reduce initial bundle size.
  
- **Code Splitting:**  
  Improve performance by splitting your code into smaller chunks that load dynamically.
  
- **Conditional Imports:**  
  Dynamically import modules based on runtime conditions (e.g., user actions or environment).

---

Dynamic import is a powerful ES2020 feature for modern JavaScript applications, enhancing modularity and performance through lazy loading and code splitting."		
298	JS 2020	BigInt	"**BigInt**

BigInt is a new primitive type in JavaScript that allows you to represent integers with arbitrary precision. This is especially useful when working with numbers that exceed the safe integer limit for the Number type (`Number.MAX_SAFE_INTEGER`).

---

**Basic Syntax**

- **Literal Notation:**

  ```javascript
  const largeNumber = 123456789012345678901234567890n;
  ```

- **Constructor Function:**

  ```javascript
  const largeNumber = BigInt(""123456789012345678901234567890"");
  ```

---

**Key Features**

- **Arbitrary Precision:**  
  BigInt can accurately represent integers beyond the safe limit of the Number type.

- **Distinct Type:**  
  BigInt is a separate type. The `typeof` operator returns `""bigint""`.

- **Arithmetic Operations:**  
  You can perform standard arithmetic (addition, subtraction, multiplication, division, etc.) with BigInts, but you cannot mix BigInts and Numbers directly. They must be explicitly converted.

---

**Examples**

- **Basic Arithmetic:**

  ```javascript
  const a = 9007199254740991n; // Maximum safe integer as BigInt
  const b = 2n;
  console.log(a + b); // 9007199254740993n
  ```

- **Comparison with Number:**

  ```javascript
  const num = 10;
  const big = 10n;
  console.log(num == big);  // true (loose equality)
  console.log(num === big); // false (strict equality; different types)
  ```

- **Type Conversion:**

  ```javascript
  const big = 20n;
  // Convert BigInt to Number (may lose precision if too large)
  const num = Number(big);
  ```

---

**Limitations**

- **No Mixed Operations:**  
  You cannot mix BigInts and Numbers directly in arithmetic expressions without explicit conversion.

- **Limited Math Functions:**  
  Many built-in Math functions (like `Math.sqrt`) do not work with BigInts.

- **Environment Support:**  
  Although widely supported in modern browsers and Node.js, BigInt might not be available in older environments.

---

BigInt is an essential feature for applications requiring high-precision arithmetic or handling very large integers that go beyond the typical safe limits of JavaScript's Number type."		
299	JS 2020	String matchAll()	"**String matchAll()**

Introduced in ES2020, the `matchAll()` method returns an iterator over all matches of a string against a regular expression, including capturing groups. It offers a more detailed alternative to `String.match()`, especially when you need to access capturing groups for each match.

---

**Basic Syntax**

```javascript
const matchesIterator = string.matchAll(regex);
```

- **Note:** The regular expression must have the global (`g`) or sticky (`y`) flag; otherwise, a `TypeError` is thrown.

---

**What It Returns**

- An iterator that yields an array for each match.
- Each match array includes:
  - The full matched substring at index 0.
  - Captured groups (if any) at subsequent indices.
  - Additional properties:
    - **`index`**: The starting index of the match in the string.
    - **`input`**: The original string.

---

**Example**

```javascript
const str = ""test1test2"";
const regex = /test(\d)/g;

const matches = [...str.matchAll(regex)];

console.log(matches);
/*
[
  [ 'test1', '1', index: 0, input: 'test1test2', groups: undefined ],
  [ 'test2', '2', index: 5, input: 'test1test2', groups: undefined ]
]
*/
```

- **Explanation:**
  - The regular expression `/test(\d)/g` matches the word ""test"" followed by a digit.
  - Using the spread operator (`...`), the iterator is converted into an array of matches.
  - Each match array contains the full match and the captured digit, along with metadata about the match.

---

**When to Use**

- When you need to retrieve all occurrences of a pattern in a string.
- When you require access to capturing groups from each match.
- As an alternative to `String.match()`, providing more comprehensive match details.

--- 

This method simplifies complex regex operations by providing a robust way to iterate over multiple matches in a string."		
300	JS 2021	Promise.any()	"**Promise.any()**

`Promise.any()` takes an iterable (usually an array) of promises and returns a new promise that fulfills as soon as any one of the input promises fulfills. If all the input promises reject, the returned promise rejects with an `AggregateError` containing all the individual rejection reasons.

---

**How It Works**

- **Fulfillment:**  
  The promise returned by `Promise.any()` fulfills with the value of the first promise that fulfills.

- **Rejection:**  
  If every promise in the iterable rejects, `Promise.any()` rejects with an `AggregateError`. This error object contains an `errors` property, which is an array of all the rejection reasons.

- **Use Case:**  
  It's useful when you want to get the first successful result among several asynchronous operations, without failing if some of them reject.

---

**Example**

```javascript
const p1 = Promise.reject(""Error 1"");
const p2 = new Promise((resolve) =&gt; setTimeout(resolve, 100, ""Success from p2""));
const p3 = new Promise((resolve) =&gt; setTimeout(resolve, 50, ""Success from p3""));

Promise.any([p1, p2, p3])
    .then(result =&gt; {
        console.log(""First fulfilled:"", result); // Logs: ""Success from p3""
    })
    .catch(error =&gt; {
        console.error(""All promises rejected:"", error);
    });
```

- In this example, even though `p1` rejects, `Promise.any()` fulfills with the value from `p3` since it resolves first.
- If all promises were to reject, the catch block would handle an `AggregateError` containing all the rejection reasons.

---

**Summary**

- **Returns a Fulfilled Promise:**  
  As soon as one promise fulfills.
- **Returns a Rejected Promise:**  
  If every promise rejects, with an `AggregateError`.
- **Ideal for:**  
  Scenarios where you only care about the first successful outcome among multiple asynchronous operations."		
301	JS 2021	String replaceAll()	"**String replaceAll()**

`replaceAll()` is a string method introduced in ES2021 that returns a new string with all occurrences of a specified value or pattern replaced by a replacement value. It simplifies replacing every instance in a string without needing a global regular expression.

---

**Basic Syntax**

```javascript
string.replaceAll(searchValue, replaceValue)
```

- **searchValue:**  
  Can be a substring or a regular expression (if using a regex, it must have the global (`g`) flag).

- **replaceValue:**  
  Can be a string or a function that returns the replacement value.

---

**Examples**

- **Replacing a Substring:**

  ```javascript
  const text = ""Hello world, world!"";
  const newText = text.replaceAll(""world"", ""JavaScript"");
  console.log(newText); // ""Hello JavaScript, JavaScript!""
  ```

- **Using a Regular Expression:**

  ```javascript
  const text = ""abc123abc456"";
  // Replace all digits with '#'
  const newText = text.replaceAll(/\d+/g, ""#"");
  console.log(newText); // ""abc#abc#""
  ```

- **Using a Replacement Function:**

  ```javascript
  const text = ""I have 1 apple, 2 oranges, and 3 bananas."";
  const newText = text.replaceAll(/\d+/g, match =&gt; parseInt(match) * 2);
  console.log(newText); // ""I have 2 apple, 4 oranges, and 6 bananas.""
  ```

---

**Key Points**

- **Immutable:**  
  `replaceAll()` does not modify the original string; it returns a new string with the replacements.

- **Convenience:**  
  It provides a simpler alternative to using `replace()` with global regular expressions when dealing with literal substrings.

- **Global Matching:**  
  When using a regex, ensure the global flag (`g`) is included; otherwise, a `TypeError` will be thrown.

---

This method streamlines the process of replacing all instances of a pattern or substring, making your code cleaner and more intuitive."		
302	JS 2021	Numeric Separators (_)	"**ES2021 Numeric Separators**

Numeric separators, introduced in ES2021, allow you to use underscores (`_`) in numeric literals to improve readability without affecting the actual value.

---

**Basic Syntax and Usage**

- **Readable Numbers:**  
  You can insert underscores within numeric literals to separate groups of digits.

  ```javascript
  const oneMillion = 1_000_000; // Same as 1000000
  const binaryValue = 0b1010_0101; // Binary literal with a separator
  const hexValue = 0xDE_AD_BE_EF; // Hexadecimal literal with separators
  ```

- **Floating-Point Numbers:**

  ```javascript
  const pi = 3.141_592_653_589_793;
  ```

---

**Rules and Restrictions**

- **Allowed Positions:**  
  Underscores can be placed between digits to group them (e.g., thousands, millions).

- **Not Allowed:**  
  - At the beginning or end of a number.
  - Adjacent to a decimal point.
  - Next to the exponent indicator in scientific notation.

  ```javascript
  // Invalid examples:
  const badNumber1 = _1000;    // Cannot start with an underscore.
  const badNumber2 = 1000_;    // Cannot end with an underscore.
  const badNumber3 = 1_.0;     // Underscore adjacent to the decimal point.
  const badNumber4 = 1e_10;    // Underscore adjacent to the exponent indicator.
  ```

---

**Benefits**

- **Enhanced Readability:**  
  Improves clarity in large numeric literals by visually separating digit groups.
- **No Impact on Performance:**  
  The underscores are removed during compilation, so they do not affect runtime performance or precision.

Numeric separators are a helpful addition for making your code more maintainable and easier to read, especially when working with large numbers or various numeral systems."		
